antecedents,consequents,support,confidence,lift,algorithm
GREEN REGENCY TEACUP AND SAUCER,"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.020485401898353958,0.55718954248366,24.216650454785913,Apriori
"PINK REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",GREEN REGENCY TEACUP AND SAUCER,0.020485401898353958,0.8903394255874673,24.216650454785913,Apriori
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",0.020485401898353958,0.691683569979716,24.188581314878892,Apriori
"GREEN REGENCY TEACUP AND SAUCER, ROSES REGENCY TEACUP AND SAUCER",PINK REGENCY TEACUP AND SAUCER,0.020485401898353958,0.7163865546218486,24.18858131487889,Apriori
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.024270094917697944,0.6601307189542484,22.289119569396387,Apriori
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.024270094917697944,0.81947261663286,22.289119569396384,Apriori
"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.020485401898353958,0.844059405940594,20.723027833756827,Apriori
ROSES REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, PINK REGENCY TEACUP AND SAUCER",0.020485401898353958,0.5029498525073746,20.723027833756824,Apriori
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.028595458368376788,0.7020648967551623,19.095706325794822,Apriori
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.028595458368376788,0.7777777777777778,19.095706325794822,Apriori
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.023008530577916617,0.7768762677484787,19.07357279194864,Apriori
ROSES REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.023008530577916617,0.5648967551622419,19.07357279194864,Apriori
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.027514117505707078,0.7304625199362041,16.387168607625412,Apriori
GARDENERS KNEELING PAD KEEP CALM,GARDENERS KNEELING PAD CUP OF TEA,0.027514117505707078,0.6172506738544475,16.387168607625412,Apriori
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.02727381953622492,0.6579710144927536,14.449321249665406,Apriori
ALARM CLOCK BAKELIKE RED,ALARM CLOCK BAKELIKE GREEN,0.02727381953622492,0.5989445910290238,14.449321249665406,Apriori
WOODEN PICTURE FRAME WHITE FINISH,WOODEN FRAME ANTIQUE WHITE,0.027514117505707078,0.5362997658079626,11.386793241886918,Apriori
WOODEN FRAME ANTIQUE WHITE,WOODEN PICTURE FRAME WHITE FINISH,0.027514117505707078,0.5841836734693877,11.386793241886918,Apriori
PAPER CHAIN KIT 50'S CHRISTMAS,PAPER CHAIN KIT VINTAGE CHRISTMAS,0.026252553165925747,0.4624338624338624,11.370271896712074,Apriori
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.026252553165925747,0.6454948301329394,11.370271896712072,Apriori
LUNCH BAG WOODLAND,LUNCH BAG SPACEBOY DESIGN,0.020785774360206656,0.513353115727003,9.788403166542604,Apriori
LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND,0.020785774360206656,0.39633447880870565,9.788403166542604,Apriori
HEART OF WICKER SMALL,HEART OF WICKER LARGE,0.02390964796347471,0.42887931034482757,9.025442477876105,Apriori
HEART OF WICKER LARGE,HEART OF WICKER SMALL,0.02390964796347471,0.5031605562579013,9.025442477876105,Apriori
